type,name,description,gbif_prov,gbif_data,broad_taxa,taxa,logo,website
Recording Scheme,Cranefly Recording Scheme,,ad9b45e8-19ae-443d-a452-246ee12b36e2,86ade71a-3894-4f17-bcde-f5894bc5e0f7,3. Invertebrates: Flies,Craneflies,,https://dipterists.org.uk/cranefly-scheme/home
Recording Scheme,Dermestidae Recording Scheme,,,,3. Invertebrates: Beetles,"Hide, larder and carpet beetles",,https://coleoptera.org.uk/dermestidae/home
Recording Scheme,Dixidae and Thaumaleidae Recording Scheme,,,04f222a1-3d53-4740-80d3-40d3b7ccbe9e,3. Invertebrates: Flies,Meniscus midges,,https://dipterists.org.uk/dixidae-scheme/home
Recording Scheme,Elateroidea Recording Scheme,,,,3. Invertebrates: Beetles,Click beetles and allies,,https://www.brc.ac.uk/scheme/elateroidea-recording-scheme
Recording Scheme,Empidid and Dolichopodid Recording Scheme,,,,3. Invertebrates: Flies,"Empid, Hybotid & Dolichopodid flies",,https://dipterists.org.uk/empid-allies-scheme/home
Recording Scheme,Flat-footed Fly Recording Scheme,,,,3. Invertebrates: Flies,Flat-footed flies,,https://dipterists.org.uk/flat-footed-fly-scheme/home
Recording Scheme,Freshwater Fish Recording Scheme,,b0d7bdb4-d7ba-47cb-95f1-2082558cae9e,4645a9cc-e357-4630-8bd2-696bf6475850,2. Vertebrates,Freshwater fish,,https://www.brc.ac.uk/freshwater-fish-recording-scheme/home
Recording Scheme,Freshwater Flatworm Recording Scheme,,,,4. Invertebrates: Non-insects,Freshwater flatworms,,https://www.brc.ac.uk/scheme/freshwater-flatworm-recording-scheme
Recording Scheme,Freshwater Leech Recording Scheme,,,,4. Invertebrates: Non-insects,Freshwater leeches,fw_leech-logo.png,https://leechrecordingscheme.co.uk/
Recording Scheme,Fungus Gnat Recording Scheme,,,,3. Invertebrates: Flies,Fungus gnats,,https://dipterists.org.uk/fungus-gnat-scheme/home
Recording Scheme,Gelechiid Recording Scheme,,,,3. Invertebrates: Other insects,Gelechiid moths,,https://gelechiid.co.uk/
Monitoring Scheme,Goose and Swan Monitoring Programme,Run by British Trust for Ornithology (BTO),,,2. Vertebrates,Birds,,https://www.bto.org/get-involved/volunteer/projects/goose-and-swan-monitoring-programme
Recording Scheme,Grasshoppers and Related Insects Recording Scheme,,d7fdac0a-fb87-46a4-91bc-633addb541a9,cbd94c94-02ae-4c40-b5b5-ec7221f0482b,3. Invertebrates: Other insects,Grasshoppers and allies,,https://orthoptera.org.uk/
Recording Scheme,Ground Beetle Recording Scheme,,,fb1ff97d-b030-4a37-9fd4-5c65f12db810,3. Invertebrates: Other insects,Ground beetles,,https://coleoptera.org.uk/carabidae/home
Recording Scheme,Harvestman Recording Scheme,Run by the British Arachnological Society,,0af8fdeb-6bbd-463e-ae5d-aa13790f896f,4. Invertebrates: Non-insects,Harvestmen,,https://britishspiders.org.uk/node/27650
Recording Scheme,Heleomyzid Recording Scheme,,,5e096c60-f909-4213-9cf3-05b1f2ad5a5e,3. Invertebrates: Flies,Spiny-winged flies,,https://dipterists.org.uk/heleomyzid-scheme/home
Recording Scheme,Hippoboscidae and Nycteribiidae Recording Scheme,,,6069bfe1-73bc-4602-a408-f723b56b813e,3. Invertebrates: Flies,"Keds, flat-flies or louse-flies, and bat-flies",,https://dipterists.org.uk/hippoboscidae-scheme/home
Recording Scheme,Hoverfly Recording Scheme,,,a69c6cda-5dc0-4362-88ed-b39d90eb4d17,3. Invertebrates: Flies,Hoverflies,,
Recording Scheme,Hypogean Crustacea Recording Scheme,,b95deb4e-d94a-4310-a211-4d45c4ccdc86,,4. Invertebrates: Non-insects,Cave amphipods and other crustacea,,https://hcrs.brc.ac.uk/
Recording Scheme,Incurvarioidea Recording Scheme,,,,3. Invertebrates: Other insects,Longhorn moths and allies,,https://www.brc.ac.uk/scheme/incurvarioidea-recording-scheme
Recording Scheme,Kelp Fly Recording Scheme,,,cc9ae2eb-b6e9-4a4e-80ec-13c21e49963f,3. Invertebrates: Flies,Kelp flies,,https://dipterists.org.uk/kelp-fly-scheme/home
Recording Scheme,Lacewings and Allies Recording Scheme,,,88159c93-b888-46df-9b97-a3f96c73b75f,3. Invertebrates: Other insects,"Lacewings, scorpion-flies, snake-flies and allies",,https://www.laars.jamesjepson.com/
Recording Scheme,Leaf-mining Moth Recording Scheme,,,,3. Invertebrates: Other insects,Leaf-mining moths,,http://www.leafmines.co.uk/
Study Group,Lesser Dung Fly (Sphaeroceridae) Study Group,,,,3. Invertebrates: Flies,Lesser Dung Flies,,https://dipterists.org.uk/sphaeroceridae-group/home
Study Group,Lonchaeidae Study Group,,,,3. Invertebrates: Flies,Lance flies,,https://dipterists.org.uk/lonchaeid-group/home
Recording Scheme,Mammal Recording Scheme,Run by the Mammal Society,d3dd95c3-93d4-4349-a13f-55abf89ad140,e6d9a4a4-dbf0-4a3e-87c2-91b6af1f9771; 2d4e76d7-2283-43bb-8029-c6a414badfd8,2. Vertebrates,Mammals,mam_soc-logo.webp,https://mammal.org.uk/how-to-record-mammals
Recording Scheme,Marine Biological Association,,,000c7e0c-c7f4-4b18-8ab7-57ade1a89e30; 83072c26-af4e-44a7-b373-0567f623081d; 97d01261-0027-4e89-a0d2-4a7d700f5fdb,5. Marine taxa,marine taxa,,https://www.mba.ac.uk/
Recording Scheme,Mayfly Recording Scheme,Collected together under Riverfly Recording Schemes,125b5016-8748-43a8-ae03-632345d3262a,,3. Invertebrates: Other insects,Mayflies,,https://www.riverflies.org/recording-schemes
Recording Scheme,Mosquitoes Recording Scheme,,,,3. Invertebrates: Flies,Mosquitoes,,https://dipterists.org.uk/mosquitoes-scheme/home
